env,episode,return,epsilon
6,40,97.2506640625001,0.01
16,39,134.51350173950186,0.01
12,45,135.45700027465824,0.01
0,34,75.06043979644778,0.01
5,42,127.81805870056155,0.01
13,42,57.8722247695923,0.01
17,42,55.87796371459963,0.01
10,40,69.00473083496094,0.01
14,41,92.49170902252202,0.01
15,38,87.81268615722664,0.01
12,46,21.681374282836913,0.01
2,41,95.91360015869161,0.01
12,47,2.1951469039917026,0.01
8,42,31.26744640350342,0.01
7,40,24.552971611022905,0.01
1,49,35.02392299652101,0.01
4,40,149.25203392028797,0.01
11,39,151.36181064605708,0.01
9,42,119.42924381256113,0.01
0,35,63.85318695068363,0.01
10,41,116.62131526947026,0.01
4,41,47.93236936569214,0.01
15,39,89.38893375396734,0.01
14,42,118.56459014892582,0.01
2,42,20.178405990600588,0.01
16,40,111.78122123718262,0.01
18,42,76.63706359863282,0.01
1,50,122.45244205474859,0.01
9,43,36.51108844757081,0.01
19,38,25.11840820312496,0.01
13,43,35.4195568466187,0.01
6,41,40.6009192657471,0.01
3,45,152.18128620147672,0.01
10,42,84.69131668090826,0.01
12,48,39.20902015686038,0.01
7,41,77.20263149261476,0.01
0,36,100.12285968780519,0.01
15,40,105.1182077407837,0.01
9,44,49.76990547180178,0.01
7,42,6.6111010742187375,0.01
16,41,96.3807737350464,0.01
6,42,51.44149967193607,0.01
15,41,23.70167037963868,0.01
3,46,27.775108375549294,0.01
5,43,143.0640933990479,0.01
4,42,146.60228694915773,0.01
17,43,21.789003944396967,0.01
